Data/Hora,Usuário,Ação
2025-04-06 15:44:01,Vitor,Iniciou o sistema
2025-04-06 15:45:27,Vitor,Iniciou o sistema
2025-04-06 15:45:29,Vitor,Escolheu opção 1
2025-04-06 15:45:43,Vitor,Escolheu opção 8
2025-04-06 15:45:48,Vitor,Escolheu opção 2
2025-04-06 15:48:22,Vitor,Escolheu opção 3
2025-04-06 15:49:48,Vitor,Iniciou o sistema
2025-04-06 15:49:50,Vitor,Escolheu opção 3
2025-04-06 15:49:53,Vitor,Consultou coluna age
2025-04-06 15:50:00,Vitor,Escolheu opção 3
2025-04-06 15:50:02,Vitor,Consultou coluna Age
2025-04-06 15:50:27,Vitor,Escolheu opção 4
2025-04-06 15:50:38,Vitor,Escolheu opção 7
2025-04-06 15:50:53,Vitor,Escolheu opção 0
